jeu_100_25_7.txt, 7557, 1000, 14657
jeu_100_25_10.txt, 17416, 1000, 24930
jeu_100_25_1.txt, 9178, 1000, 18558
jeu_100_25_9.txt, 23894, 1000, 35438
jeu_100_25_6.txt, 23632, 1000, 36360
jeu_100_25_2.txt, 48081, 1000, 56525
jeu_100_25_3.txt, 2463, 1000, 3752
jeu_100_25_5.txt, 54757, 1000, 61494
jeu_100_25_8.txt, 12165, 1000, 20452
jeu_100_25_4.txt, 39929, 1000, 50382
jeu_200_100_10.txt, 229534, 1000, 378442
jeu_200_100_3.txt, 16912, 1000, 29367
jeu_200_100_1.txt, 902951, 1000, 937149
jeu_200_100_9.txt, 471615, 1000, 628992
jeu_200_100_7.txt, 599418, 1000, 701094
jeu_200_100_6.txt, 24451, 1000, 41171
jeu_200_100_2.txt, 151688, 1000, 303058
jeu_200_100_5.txt, 687900, 1000, 786635
jeu_200_100_4.txt, 60186, 1000, 100838
jeu_200_100_8.txt, 653713, 1000, 782443
jeu_300_25_4.txt, 374931, 1000, 444759
jeu_300_25_7.txt, 430405, 1000, 485263
jeu_300_25_2.txt, 181763, 1000, 281990
jeu_300_25_5.txt, 8857, 1000, 14988
jeu_300_25_6.txt, 145236, 1000, 269782
jeu_300_25_8.txt, 6609, 1000, 9343
jeu_300_25_9.txt, 136933, 1000, 250761
jeu_300_25_1.txt, 14932, 1000, 29140
jeu_300_25_10.txt, 291695, 1000, 383377
jeu_300_50_8.txt, 631451, 1000, 767977
jeu_300_50_4.txt, 143374, 1000, 307124
jeu_300_50_2.txt, 62150, 1000, 105543
jeu_300_50_1.txt, 287892, 1000, 513379
jeu_300_50_10.txt, 910490, 1000, 996070
jeu_300_50_9.txt, 570358, 1000, 761351
jeu_300_50_5.txt, 529207, 1000, 727820
jeu_300_50_3.txt, 712602, 1000, 875788
jeu_300_50_6.txt, 571818, 1000, 734053
jeu_300_50_7.txt, 23789, 1000, 43595
